,Start Time,Start Location,End Time,End Location,Total Ride Time,start station latitude,start station longitude,end station latitude,end station longtiude,Day of Week,Hour
11,2019-05-24 22:04:57,Cleveland Pl & Spring St,2019-05-24 22:16:42,E 2 St & Avenue B,0 days 00:11:45.000000000,40.72210378668603,-73.99724900722505,40.72217444,-73.98368779,Friday,22
55,2019-06-04 08:30:04,E 2 St & Avenue B,2019-06-04 08:33:44,Stanton St & Mangin St,0 days 00:03:40.000000000,40.72217444,-73.98368779,40.71782143,-73.97628939,Tuesday,8
54,2019-06-04 10:40:04,E 2 St & Avenue B,2019-06-04 10:58:35,Maiden Ln & Pearl St,0 days 00:18:31.000000000,40.72217444,-73.98368779,40.70706456,-74.00731853,Tuesday,10
10,2019-06-04 17:40:11,John St & William St,2019-06-04 18:02:08,E 2 St & Avenue B,0 days 00:21:57.000000000,40.70862144,-74.00722156,40.72217444,-73.98368779,Tuesday,17
9,2019-06-05 18:25:39,W 13 St & 5 Ave,2019-06-05 18:39:49,E 2 St & Avenue B,0 days 00:14:10.000000000,40.73543934,-73.99453948,40.72217444,-73.98368779,Wednesday,18
51,2019-06-05 19:32:46,E 2 St & Avenue B,2019-06-05 19:42:05,E 13 St & Avenue A,0 days 00:09:19.000000000,40.72217444,-73.98368779,40.72955361,-73.98057249,Wednesday,19
6,2019-06-24 19:53:07,E 16 St & 5 Ave,2019-06-24 20:05:58,E 2 St & Avenue B,0 days 00:12:51.000000000,40.73726186,-73.99238967,40.72217444,-73.98368779,Monday,19
66,2019-06-25 18:33:27,W 38 St & 8 Ave,2019-06-25 19:02:19,E 2 St & Avenue C,0 days 00:28:52.000000000,40.75466591,-73.99138152,40.720873600000004,-73.98085795,Tuesday,18
5,2019-06-26 18:30:18,E 16 St & 5 Ave,2019-06-26 18:42:42,E 2 St & Avenue B,0 days 00:12:24.000000000,40.73726186,-73.99238967,40.72217444,-73.98368779,Wednesday,18
4,2019-06-27 17:35:45,Pershing Square North,2019-06-27 18:00:36,E 2 St & Avenue B,0 days 00:24:51.000000000,40.751872999999996,-73.97770600000001,40.72217444,-73.98368779,Thursday,17
2,2019-06-30 23:09:31,Rivington St & Chrystie St,2019-06-30 23:15:34,E 2 St & Avenue B,0 days 00:06:03.000000000,40.72110063,-73.99192540000001,40.72217444,-73.98368779,Sunday,23
49,2019-07-09 18:41:14,Suffolk St & Stanton St,2019-07-09 18:46:51,Stanton St & Chrystie St,0 days 00:05:37.000000000,40.72066442,-73.98517977,40.72229346,-73.99147535,Tuesday,18
48,2019-07-13 17:29:50,E 2 St & Avenue B,2019-07-13 17:35:25,Stanton St & Chrystie St,0 days 00:05:35.000000000,40.72217444,-73.98368779,40.72229346,-73.99147535,Saturday,17
40,2019-07-13 18:55:12,Allen St & Rivington St,2019-07-13 18:58:29,Suffolk St & Stanton St,0 days 00:03:17.000000000,40.72019576,-73.98997825,40.72066442,-73.98517977,Saturday,18
47,2019-07-14 18:22:32,E 2 St & Avenue B,2019-07-14 18:29:25,Clinton St & Grand St,0 days 00:06:53.000000000,40.72217444,-73.98368779,40.71559509,-73.9870295,Sunday,18
1,2019-08-15 23:39:15,Rivington St & Chrystie St,2019-08-15 23:43:54,E 2 St & Avenue B,0 days 00:04:39.000000000,40.72110063,-73.99192540000001,40.72217444,-73.98368779,Thursday,23
0,2019-08-16 16:45:24,Broadway & W 37 St,2019-08-16 17:08:00,E 2 St & Avenue B,0 days 00:22:36.000000000,40.75172632,-73.98753523,40.72217444,-73.98368779,Friday,16
